respondent_id,q1_satisfaction,q2_recommend,q3_category,q4_delivery_on_time,q5_improve
R0001,2,0,Electronics,Yes,"Frustrated, to be honest — less wasteful packaging would be great."
R0002,4,9,Home,Yes,Loved it.
R0003,4,10,Home,Yes,"Honestly, nothing major."
R0004,3,10,Electronics,Yes,No real complaints — more colour options on electronics items.
R0005,2,1,Home,Yes,Quite let down — refunds took too long to come through.
R0006,5,8,Home,Yes,Nothing to add
R0007,5,10,Home,Yes,No real complaints — faster checkout would be a small plus.
R0008,5,10,Other,Yes,
R0009,1,0,Clothing,No,Quite let down — build quality on the clothing product could be better.
R0010,5,9,Home,Yes,Very smooth from start to finish.
R0011,4,7,Electronics,No,"No major issues, still the electronics item didn't quite match the description, and my electronics item arrived in flimsy packaging."
R0012,4,7,Electronics,Yes,Pretty much perfect.
R0013,4,10,Home,Yes,Very smooth from start to finish.
R0014,3,9,Electronics,Yes,Great service overall — more colour options on electronics items.
R0015,3,6,Home,No,
R0016,4,10,Other,Yes,-
R0017,5,10,Electronics,Yes,Very smooth from start to finish — faster checkout would be a small plus.
R0018,4,10,Home,Yes,Very smooth from start to finish — maybe a few more deals would be nice.
R0019,4,10,Clothing,Yes,Loved it.
R0020,4,5,Electronics,Yes,
R0021,4,8,Electronics,Yes,No real complaints — maybe a few more deals would be nice.
R0022,3,6,Electronics,No,"Mostly fine, but the shipping fee felt steep, and make returns and refunds simpler and faster."
R0023,3,4,Home,Yes,
R0024,5,9,Home,Yes,"Honestly, nothing major."
R0025,4,8,Home,Yes,No real complaints.
R0026,5,9,Electronics,Yes,
R0027,4,6,Electronics,No,"Good in general, however customer support was slow to respond."
R0028,5,10,Other,Yes,Pretty much perfect — faster checkout would be a small plus.
R0029,3,2,Home,Yes,"Not a great experience this time — a clearer discount policy would be appreciated, and build quality on the home product could be better."
R0030,4,6,Clothing,Yes,
R0031,5,10,Electronics,Yes,Loved it.
R0032,5,10,Home,Yes,Great service overall — keep doing what you're doing.
R0033,3,7,Home,Yes,
R0034,5,10,Other,Yes,No real complaints.
R0035,5,10,Other,Yes,N/A
R0036,5,8,Electronics,Yes,Great service overall — more colour options on electronics items.
R0037,3,4,Electronics,Yes,"Good in general, however support could be more helpful and responsive."
R0038,2,0,Electronics,No,"Frustrated, to be honest — the shipping fee felt steep."
R0039,1,0,Clothing,No,Quite let down — a better size guide for clothing would help a lot.
R0040,2,0,Electronics,Yes,Pretty disappointed — less wasteful packaging would be great.
R0041,4,8,Home,Yes,
R0042,4,10,Clothing,Yes,"Honestly, nothing major — perhaps a loyalty program for regulars."
R0043,5,10,Home,Yes,"Honestly, nothing major."
R0044,3,0,Clothing,No,Pretty disappointed — real-time tracking would make a big difference.
R0045,5,10,Clothing,Yes,Very smooth from start to finish.
R0046,5,10,Clothing,Yes,"Honestly, nothing major — more colour options on clothing items."
R0047,4,10,Electronics,Yes,All good
R0048,4,6,Clothing,Yes,"Mostly fine, but more competitive pricing would help, and build quality on the clothing product could be better."
R0049,4,10,Home,Yes,Very smooth from start to finish — a wider home selection would be a bonus.
R0050,4,6,Clothing,Yes,"Decent experience overall, though refunds took too long to come through, and build quality on the clothing product could be better."
R0051,4,8,Clothing,Yes,Great service overall.
R0052,1,0,Clothing,No,"Really not impressed — the shipping fee felt steep, and refunds took too long to come through."
R0053,5,10,Electronics,Yes,Great service overall — more colour options on electronics items.
R0054,4,5,Electronics,Yes,
R0055,5,10,Electronics,Yes,"Honestly, nothing major."
R0056,4,7,Clothing,Yes,All good
R0057,5,9,Other,Yes,Nothing to add
R0058,4,8,Electronics,Yes,No real complaints.
R0059,5,10,Electronics,Yes,All good
R0060,4,7,Electronics,No,
R0061,4,7,Electronics,Yes,"Honestly, nothing major."
R0062,4,9,Clothing,Yes,-
R0063,4,8,Other,No,"It was okay, search and filters on the site need work, and my order showed up days after the delivery date."
R0064,5,10,Home,Yes,Very smooth from start to finish — more colour options on home items.
R0065,4,7,Clothing,Yes,"Good in general, however a better size guide for clothing would help a lot."
R0066,4,5,Clothing,Yes,"It was okay, the sizing on clothing runs inconsistent, and the clothing item felt lower quality than the photos suggested."
R0067,3,7,Home,No,"No major issues, still less wasteful packaging would be great."
R0068,4,10,Electronics,Yes,Really happy with the experience — faster checkout would be a small plus.
R0069,3,7,Home,Yes,All good
R0070,5,10,Other,Yes,"Honestly, nothing major — more colour options on other items."
R0071,3,1,Home,Yes,"Really not impressed — make returns and refunds simpler and faster, and prices feel a little high compared to competitors."
